Timestamp,Humidity (%),Temperature (°C),Light (lux),Soil Moisture (%)
18:02:34,51.3,24.4,85.83,31.0
18:02:36,51.3,24.4,86.67,31.0
18:02:38,51.4,24.4,85.83,31.0
18:02:40,51.5,24.4,85.83,31.0
18:02:42,51.6,24.4,85.83,31.0
18:02:44,51.6,24.4,87.5,31.0
18:02:46,51.6,24.4,88.33,31.0
18:02:48,51.6,24.3,88.33,31.0
18:02:50,51.6,24.4,88.33,31.0
18:02:52,51.6,24.3,86.67,31.0
18:02:54,51.6,24.3,86.67,31.0
18:02:56,51.6,24.3,86.67,31.0
18:02:58,51.6,24.3,86.67,31.0
18:03:00,51.6,24.3,87.5,31.0
18:03:02,51.6,24.3,85.83,31.0
18:03:04,51.7,24.3,51.67,31.0
18:03:06,51.7,24.3,59.17,31.0
18:03:08,51.7,24.3,85.0,31.0
18:03:10,51.7,24.3,85.0,31.0
18:03:12,51.7,24.3,85.83,31.0
18:03:14,51.7,24.3,85.83,31.0
18:03:16,51.7,24.3,87.5,31.0
18:03:18,51.8,24.3,87.5,31.0
18:03:20,51.8,24.3,88.33,31.0
18:03:22,51.9,24.3,87.5,31.0
18:03:24,51.9,24.3,86.67,31.0
18:03:26,51.9,24.3,87.5,31.0
18:03:28,51.9,24.4,87.5,31.0
18:03:30,52.0,24.4,87.5,31.0
18:03:32,52.0,24.4,87.5,31.0
18:03:35,51.9,24.4,86.67,31.0
18:03:37,51.9,24.3,87.5,31.0
18:03:39,51.9,24.4,87.5,31.0
18:03:41,51.9,24.4,87.5,31.0
18:03:43,51.9,24.4,87.5,31.0
18:03:45,51.9,24.4,87.5,31.0
18:03:47,51.9,24.4,87.5,31.0
18:03:49,51.9,24.4,87.5,31.0
18:03:51,51.9,24.4,87.5,31.0
18:03:53,51.9,24.4,86.67,31.0
18:03:55,51.9,24.4,86.67,31.0
18:03:57,51.9,24.4,86.67,31.0
18:03:59,51.9,24.4,86.67,31.0
18:04:01,51.8,24.4,86.67,31.0
18:04:03,51.9,24.4,86.67,31.0
18:04:05,51.9,24.4,85.83,31.0
18:04:07,51.9,24.4,85.83,31.0
18:04:09,51.8,24.4,86.67,31.0
18:04:11,51.9,24.4,87.5,31.0
18:04:13,51.8,24.4,87.5,31.0
18:04:15,51.8,24.4,87.5,31.0
18:04:17,51.8,24.5,87.5,31.0
18:04:19,51.8,24.4,87.5,31.0
18:04:21,51.8,24.4,87.5,31.0
18:04:23,51.8,24.4,86.67,31.0
18:04:25,51.8,24.4,87.5,31.0
18:04:27,51.8,24.4,86.67,31.0
18:04:29,51.8,24.4,86.67,31.0
18:04:31,51.8,24.4,86.67,31.0
18:04:33,51.8,24.4,86.67,31.0
18:04:36,51.8,24.4,86.67,31.0
18:04:39,51.8,24.4,86.67,31.0
18:04:41,51.8,24.4,87.5,31.0
18:04:43,51.9,24.5,87.5,31.0
18:04:45,51.9,24.4,87.5,31.0
18:04:47,51.8,24.4,87.5,31.0
18:04:49,51.9,24.5,86.67,31.0
18:04:51,51.8,24.5,86.67,31.0
18:04:53,51.9,24.4,87.5,31.0
18:04:55,51.9,24.4,87.5,31.0
18:04:57,51.9,24.5,87.5,31.0
18:04:59,51.9,24.4,85.83,31.0
18:05:01,51.9,24.4,85.83,31.0
18:05:03,51.9,24.5,86.67,31.0
